School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Math,11,6822,Waukee,235.0,284.0,82.8,80.1 - 90%,"560 SE University Avenue
Waukee, Iowa 50263
(41.600393133, -93.861920094)"
2011,Reading,6,2403,Garner-Hayfield,39.0,61.0,63.9,60.1 - 70%,"605 Lyon Street
Garner, Iowa 504380449
(43.090488817, -93.610079275)"
2011,Math,7,2834,Harmony,15.0,24.0,62.5,60.1 - 70%,"602 Eighth Street
Bonaparte, Iowa 52620
(40.704120087, -91.800954708)"
2011,Reading,6,6165,Stanton,19.0,24.0,79.2,70.1 - 80%,"605 Elliott Street
Stanton, Iowa 51573
(40.984178043001, -95.100395388)"
2011,Reading,7,4269,Midland,18.0,27.0,66.7,60.1 - 70%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169, -91.006033654)"
2011,Reading,11,4505,Mormon Trail,18.0,31.0,58.1,50.1 - 60%,"403 S Front St
Humeston, Iowa 50123
(40.857861428, -93.49945448)"
2011,Math,3,1611,Davenport,815.0,1113.0,73.2,70.1 - 80%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2011,Reading,11,1602,Danville,39.0,53.0,73.6,70.1 - 80%,"419 S Main
Danville, Iowa 52623
(40.860760597, -91.314672134)"
2011,Math,7,5510,Riverside,40.0,52.0,76.9,70.1 - 80%,"330 Pleasant St
Carson, Iowa 51525
(41.237457777, -95.419260079)"
2011,Reading,6,3114,Indianola,192.0,238.0,80.7,80.1 - 90%,"1304 E 2nd Ave
Indianola, Iowa 50125
(41.357997978, -93.542849802)"
2011,Reading,3,6961,Western Dubuque,131.0,164.0,79.9,70.1 - 80%,"310 4th Street SW
Farley, Iowa 520469513
(42.440821398, -91.010297016)"
2011,Math,5,873,North Iowa,20.0,30.0,66.7,60.1 - 70%,"111 3rd Ave NW
Buffalo Center, Iowa 50424
(43.388056968, -93.945080272)"
2011,Reading,11,6700,Waco,25.0,31.0,80.7,80.1 - 90%,"706 N. Pearl
Wayland, Iowa 52654
(41.153132482001, -91.658643375)"
